raw_timestamp,relative_to_unix_epoch_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_status,left_pupil_diameter,left_iris_diameter,left_pupil_iris_ratio,left_eye_openness,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_status,right_pupil_diameter,right_iris_diameter,right_pupil_iris_ratio,right_eye_openness,inter_pupillary_distance
1000652913769613200,1746620201835,42.62854,0.9197181,3594197,1,Valid,0.1179902,-0.09998173,0.9879686,0,0,0,0.1547616,-0.09947197,0.9829314,-0.03456065,0,0,Tracked,4.24157,11.70092,0.3624989,0.7089337,0.08070138,-0.1003566,0.9916732,0.03456065,0,0,Tracked,4.283195,11.79979,0.3629889,0.7456911,69.35
1000652913774612500,1746620201835,42.62854,0.9189792,3594198,1,Valid,0.1177662,-0.100271,0.987966,0,0,0,0.1545691,-0.09976016,0.9829325,-0.03456065,0,0,Tracked,4.241846,11.70092,0.3625225,0.7091273,0.08044548,-0.1006464,0.9916646,0.03456065,0,0,Tracked,4.255033,11.79979,0.3606023,0.7457842,69.35
1000652913779633000,1746620201835,42.62854,0.9183696,3594199,1,Valid,0.1175343,-0.1005236,0.987968,0,0,0,0.1543638,-0.100012,0.9829392,-0.03456065,0,0,Tracked,4.241817,11.70092,0.36252,0.7092505,0.08018693,-0.1008993,0.9916599,0.03456065,0,0,Tracked,4.248919,11.79979,0.3600842,0.7458292,69.35
1000652913784624300,1746620201856,42.64846,0.9176722,3594200,0.9939275,Valid,0.1173087,-0.1006446,0.9879825,0,0,0,0.1541682,-0.1001328,0.9829575,-0.03456065,0,0,Tracked,4.241784,11.70092,0.3625172,0.709403,0.07993112,-0.1010201,0.9916683,0.03456065,0,0,Tracked,4.255094,11.79979,0.3606075,0.7458803,69.35
1000652913789600500,1746620201856,42.64846,0.9196889,3594201,0.9458215,Valid,0.1172003,-0.1005075,0.9880093,0,0,0,0.1539817,-0.099998,0.9830005,-0.03456065,0,0,Tracked,4.241778,11.70092,0.3625167,0.7095383,0.07990524,-0.1008814,0.9916845,0.03456065,0,0,Tracked,4.306312,11.79979,0.3649481,0.7458972,69.35
1000652913794602400,1746620201856,42.64846,0.922961,3594202,0.9374251,Valid,0.117181,-0.1003056,0.9880321,0,0,0,0.1538308,-0.09979922,0.9830443,-0.03456065,0,0,Tracked,4.241606,11.70092,0.362502,0.7096397,0.08001629,-0.1006776,0.9916962,0.03456065,0,0,Tracked,4.343627,11.79979,0.3681105,0.7459486,69.35
1000652913799601700,1746620201856,42.64846,0.925552,3594203,0.9341619,Valid,0.1171712,-0.1001084,0.9880533,0,0,0,0.1537154,-0.09960477,0.9830821,-0.03456065,0,0,Tracked,4.241462,11.70092,0.3624897,0.7098458,0.08010704,-0.1004788,0.9917091,0.03456065,0,0,Tracked,4.359963,11.79979,0.3694949,0.7460006,69.35
1000652913804601000,1746620201875,42.66825,0.9279842,3594204,0.9477112,Valid,0.1171597,-0.09995077,0.9880705,0,0,0,0.1536035,-0.09944951,0.9831153,-0.03456065,0,0,Tracked,4.241337,11.70092,0.362479,0.7100506,0.08018751,-0.1003198,0.9917186,0.03456065,0,0,Tracked,4.364621,11.79979,0.3698896,0.7460991,69.35
1000652913809605200,1746620201875,42.66825,0.9301507,3594205,0.9305387,Valid,0.1170789,-0.09976166,0.9880993,0,0,0,0.1534341,-0.09926303,0.9831606,-0.03456065,0,0,Tracked,4.242269,11.70092,0.3625587,0.7102349,0.08018741,-0.100129,0.991738,0.03456065,0,0,Tracked,4.379349,11.79979,0.3711378,0.7461398,69.35
1000652913814605000,1746620201875,42.66825,0.9258855,3594206,0.8102469,Valid,0.1167281,-0.09982195,0.9881347,0,0,0,0.1532615,-0.09932159,0.9831817,-0.03456065,0,0,Tracked,4.244101,11.70092,0.3627152,0.7103592,0.07967184,-0.1001895,0.9917734,0.03456065,0,0,Tracked,4.297934,11.79979,0.3642381,0.7462405,69.35
1000652913819598400,1746620201876,42.66825,0.9215468,3594207,0.8334138,Valid,0.1163864,-0.09987763,0.9881694,0,0,0,0.1530948,-0.09937558,0.9832022,-0.03456065,0,0,Tracked,4.245603,11.70092,0.3628436,0.710496,0.07915314,-0.1002455,0.9918092,0.03456065,0,0,Tracked,4.279327,11.79979,0.3626612,0.7463458,69.35
1000652913824598200,1746620201897,42.69084,0.9170892,3594208,0.8461649,Valid,0.1160525,-0.09992497,0.9882038,0,0,0,0.152937,-0.09942123,0.9832221,-0.03456065,0,0,Tracked,4.246747,11.70092,0.3629414,0.7106489,0.0786305,-0.1002933,0.991846,0.03456065,0,0,Tracked,4.275477,11.79979,0.3623349,0.7464069,69.35
1000652913829602700,1746620201897,42.69084,0.9128977,3594209,0.8440559,Valid,0.1157437,-0.09995501,0.988237,0,0,0,0.1527924,-0.09944977,0.9832417,-0.03456065,0,0,Tracked,4.24745,11.70092,0.3630015,0.7107856,0.07813966,-0.1003237,0.9918817,0.03456065,0,0,Tracked,4.274039,11.79979,0.3622131,0.7464745,69.35
1000652913834602500,1746620201897,42.69084,0.9102563,3594210,0.8407642,Valid,0.1154925,-0.09993199,0.9882687,0,0,0,0.1526469,-0.0994262,0.9832667,-0.03456065,0,0,Tracked,4.247902,11.70092,0.3630401,0.7110052,0.07777346,-0.1003005,0.9919128,0.03456065,0,0,Tracked,4.281103,11.79979,0.3628117,0.7465211,69.35
1000652913839602300,1746620201897,42.69084,0.9077262,3594211,0.8441395,Valid,0.1152596,-0.09990703,0.9882984,0,0,0,0.1525156,-0.09940069,0.9832897,-0.03456065,0,0,Tracked,4.248032,11.70092,0.3630512,0.711229,0.07742956,-0.1002754,0.9919423,0.03456065,0,0,Tracked,4.28809,11.79979,0.3634038,0.7465884,69.35
1000652913844586600,1746620201897,42.69084,0.9070872,3594212,0.8147981,Valid,0.1151146,-0.09983023,0.9883231,0,0,0,0.1524006,-0.09932438,0.9833152,-0.03456065,0,0,Tracked,4.248012,11.70092,0.3630494,0.7114377,0.07725921,-0.1001979,0.9919634,0.03456065,0,0,Tracked,4.313271,11.79979,0.3655379,0.7466929,69.35
1000652913849589300,1746620201919,42.71344,0.9073173,3594213,0.8249687,Valid,0.1149926,-0.09975384,0.988345,0,0,0,0.1522752,-0.09924891,0.9833422,-0.03456065,0,0,Tracked,4.248003,11.70092,0.3630487,0.7115911,0.0771508,-0.1001207,0.9919797,0.03456065,0,0,Tracked,4.320088,11.79979,0.3661156,0.7467692,69.35
1000652913854590700,1746620201919,42.71344,0.9076917,3594214,0.8216606,Valid,0.1148742,-0.09969562,0.9883646,0,0,0,0.1521472,-0.09919158,0.9833678,-0.03456065,0,0,Tracked,4.248172,11.70092,0.3630632,0.7117996,0.0770518,-0.1000616,0.9919933,0.03456065,0,0,Tracked,4.320751,11.79979,0.3661718,0.7468053,69.35
1000652913859592100,1746620201920,42.71344,0.9082257,3594215,0.8268732,Valid,0.1147645,-0.09964476,0.9883825,0,0,0,0.1520209,-0.09914167,0.9833924,-0.03456065,0,0,Tracked,4.248839,11.70092,0.3631202,0.7119616,0.07696776,-0.10001,0.9920051,0.03456065,0,0,Tracked,4.320699,11.79979,0.3661673,0.7469141,69.35
1000652913864592000,1746620201920,42.71344,0.9086946,3594216,0.8359678,Valid,0.114653,-0.09959567,0.9884004,0,0,0,0.1518949,-0.09909349,0.9834167,-0.03456065,0,0,Tracked,4.24967,11.70092,0.3631912,0.712115,0.07687857,-0.09996009,0.992017,0.03456065,0,0,Tracked,4.320604,11.79979,0.3661593,0.7469808,69.35
1000652913869585500,1746620201941,42.73658,0.9088302,3594217,0.8632113,Valid,0.1145458,-0.09955294,0.9884171,0,0,0,0.1517857,-0.09905142,0.9834378,-0.03456065,0,0,Tracked,4.249922,11.70092,0.3632127,0.7123125,0.07677872,-0.09991673,0.9920291,0.03456065,0,0,Tracked,4.319936,11.79979,0.3661027,0.7470813,69.35
1000652913874586900,1746620201941,42.73658,0.9090341,3594218,0.8647765,Valid,0.1144194,-0.09951879,0.9884352,0,0,0,0.1516547,-0.09901801,0.9834614,-0.03456065,0,0,Tracked,4.249918,11.70092,0.3632123,0.7124673,0.07666236,-0.09988189,0.9920416,0.03456065,0,0,Tracked,4.318527,11.79979,0.3659833,0.7471196,69.35
1000652913879587900,1746620201941,42.73658,0.909431,3594219,0.8779554,Valid,0.1142866,-0.09952185,0.9884503,0,0,0,0.1515095,-0.09902175,0.9834834,-0.03456065,0,0,Tracked,4.249931,11.70092,0.3632135,0.7126173,0.07654759,-0.0998843,0.9920502,0.03456065,0,0,Tracked,4.311882,11.79979,0.3654202,0.7472076,69.35
1000652913884589300,1746620201941,42.73658,0.910394,3594220,0.8973467,Valid,0.1141583,-0.09962821,0.9884544,0,0,0,0.1513457,-0.09912863,0.9834979,-0.03456065,0,0,Tracked,4.25013,11.70092,0.3632305,0.7128316,0.07646081,-0.09999024,0.9920462,0.03456065,0,0,Tracked,4.285493,11.79979,0.3631838,0.747326,69.35
1000652913889590300,1746620201941,42.73658,0.9115694,3594221,0.8807051,Valid,0.1140442,-0.0998397,0.9884462,0,0,0,0.1511867,-0.09934019,0.983501,-0.03456065,0,0,Tracked,4.25036,11.70092,0.3632502,0.7130147,0.07639628,-0.1002017,0.9920298,0.03456065,0,0,Tracked,4.24271,11.79979,0.359558,0.747395,69.35
1000652913894591700,1746620201961,42.75635,0.9128377,3594222,0.8500463,Valid,0.1139416,-0.1002238,0.9884192,0,0,0,0.1510346,-0.09972357,0.9834855,-0.03456065,0,0,Tracked,4.250543,11.70092,0.3632658,0.7132679,0.07634619,-0.1005864,0.9919948,0.03456065,0,0,Tracked,4.200853,11.79979,0.3560107,0.7474862,69.35
1000652913899592700,1746620201962,42.75635,0.9163294,3594223,0.7198349,Valid,0.1139452,-0.1001979,0.9884214,0,0,0,0.1508918,-0.09969999,0.9835098,-0.03456065,0,0,Tracked,4.251027,11.70092,0.3633072,0.7134961,0.07648753,-0.1005593,0.9919866,0.03456065,0,0,Tracked,4.259857,11.79979,0.3610111,0.7476001,69.35
1000652913904587100,1746620201962,42.75635,0.9192923,3594224,0.7554645,Valid,0.1139476,-0.1001723,0.9884237,0,0,0,0.150767,-0.09967647,0.9835314,-0.03456065,0,0,Tracked,4.251789,11.70092,0.3633722,0.7137355,0.07660215,-0.1005328,0.9919805,0.03456065,0,0,Tracked,4.277779,11.79979,0.36253,0.7477121,69.35
