time,hand,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,trigger_pressed,grip_pressed,primary_button_pressed,joystick_x,joystick_y,thumb,index,middle,ring,pinky
1.0775,Left,-0.3726,0.7117,0.6137,0.1371,0.6574,-0.3284,0.6642,-0.0080,0.0020,0.0041,-0.0031,-0.0203,-0.0090,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.0775,Right,-0.1692,0.7118,0.3889,0.2994,0.1079,0.1462,0.9366,-0.0045,0.0024,0.0045,0.0027,-0.0453,-0.0016,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.1108,Left,-0.3734,0.7120,0.6139,0.1377,0.6567,-0.3283,0.6649,-0.0097,0.0035,0.0041,0.0025,-0.0288,-0.0055,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.1108,Right,-0.1694,0.7118,0.3893,0.2995,0.1056,0.1472,0.9367,-0.0049,0.0013,0.0055,0.0134,-0.0676,0.0046,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.1412,Left,-0.3736,0.7119,0.6142,0.1372,0.6566,-0.3286,0.6649,-0.0078,0.0030,0.0061,-0.0127,-0.0131,0.0007,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.1412,Right,-0.1696,0.7117,0.3895,0.2996,0.1040,0.1480,0.9368,-0.0050,0.0002,0.0056,0.0172,-0.0830,0.0080,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.1778,Left,-0.3737,0.7120,0.6143,0.1372,0.6565,-0.3288,0.6649,-0.0069,0.0025,0.0044,-0.0105,-0.0089,-0.0044,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.1778,Right,-0.1698,0.7118,0.3899,0.2995,0.1025,0.1487,0.9369,-0.0044,0.0006,0.0071,0.0137,-0.0907,0.0089,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.2128,Left,-0.3741,0.7121,0.6143,0.1380,0.6566,-0.3288,0.6647,-0.0083,0.0023,0.0027,0.0137,-0.0056,-0.0168,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.2128,Right,-0.1699,0.7118,0.3901,0.2996,0.1016,0.1490,0.9369,-0.0041,0.0005,0.0062,0.0156,-0.0716,0.0046,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.2444,Left,-0.3743,0.7122,0.6145,0.1380,0.6569,-0.3292,0.6642,-0.0073,0.0026,0.0039,0.0016,0.0122,-0.0208,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.2444,Right,-0.1701,0.7117,0.3901,0.2996,0.1009,0.1487,0.9370,-0.0045,-0.0003,0.0046,0.0072,-0.0524,-0.0115,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.2744,Left,-0.3745,0.7123,0.6146,0.1380,0.6568,-0.3294,0.6641,-0.0056,0.0030,0.0036,0.0001,0.0069,-0.0145,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.2744,Right,-0.1702,0.7116,0.3900,0.2998,0.1011,0.1491,0.9368,-0.0022,-0.0004,0.0019,0.0099,-0.0242,0.0064,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
1.3099,Left,-0.3746,0.7123,0.6143,0.1379,0.6582,-0.3293,0.6629,-0.0040,0.0022,-0.0010,0.0153,0.0535,-0.0125,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
